,train,val,lr
158,-2.560295138209767e-06,-2.4598535e-06,[0.0009997262640871333]
159,-2.5584784907550785e-06,-2.5718266e-06,[0.0009997227884315806]
160,-2.607139549581916e-06,-2.5001673e-06,[0.0009997192908557336]
161,-2.6086122261403944e-06,-2.425266e-06,[0.0009997157713597458]
162,-2.537140585445741e-06,-2.44263e-06,[0.0009997122299437715]
163,-2.5141720016108594e-06,-2.4601004e-06,[0.000999708666607966]
164,-2.565059116932389e-06,-2.5442075e-06,[0.0009997050813524858]
165,-2.572010953372228e-06,-2.4700196e-06,[0.000999701474177488]
166,-2.5926673060894246e-06,-2.477925e-06,[0.000999697845083131]
167,-2.559743074925791e-06,-2.706513e-06,[0.0009996941940695735]
168,-2.6193590883849537e-06,-2.6073399e-06,[0.0009996905211369764]
169,-2.648848794706282e-06,-2.6212304e-06,[0.0009996868262855002]
170,-2.5870408535411116e-06,-2.567878e-06,[0.000999683109515307]
171,-2.500324376342178e-06,-2.2700287e-06,[0.0009996793708265603]
172,-2.5859653987936325e-06,-2.4163794e-06,[0.0009996756102194238]
173,-2.5354700483148916e-06,-2.4317947e-06,[0.0009996718276940625]
174,-2.621331600494159e-06,-2.34614e-06,[0.0009996680232506423]
175,-2.6049512598547155e-06,-2.488159e-06,[0.00099966419688933]
176,-2.601235473775887e-06,-2.3889363e-06,[0.0009996603486102937]
177,-2.6000858042607435e-06,-2.5394395e-06,[0.000999656478413702]
178,-2.603081452434708e-06,-2.5661234e-06,[0.0009996525862997244]
179,-2.6302377136744328e-06,-2.6790874e-06,[0.000999648672268532]
180,-2.663257100721239e-06,-2.6102903e-06,[0.0009996447363202967]
181,-2.6748331265480374e-06,-2.4372541e-06,[0.0009996407784551907]
182,-2.6241415753247564e-06,-2.5829072e-06,[0.0009996367986733878]
183,-2.5707819986564575e-06,-2.71646e-06,[0.0009996327969750626]
184,-2.5281320631620475e-06,-2.7024078e-06,[0.0009996287733603905]
185,-2.6724927920440677e-06,-2.6269036e-06,[0.000999624727829548]
186,-2.6536081804806598e-06,-2.4897936e-06,[0.0009996206603827128]
187,-2.5771839545996046e-06,-2.2395818e-06,[0.000999616571020063]
188,-2.632392784107651e-06,-2.5976494e-06,[0.0009996124597417783]
189,-2.659492042766942e-06,-2.7524668e-06,[0.0009996083265480387]
190,-2.667844091774896e-06,-2.5929235e-06,[0.0009996041714390256]
191,-2.6216884407403994e-06,-2.4976082e-06,[0.0009995999944149214]
192,-2.6496827331357054e-06,-2.588588e-06,[0.0009995957954759094]
193,-2.6220042400382225e-06,-2.522611e-06,[0.0009995915746221736]
194,-2.6380454528407426e-06,-2.5265008e-06,[0.0009995873318538993]
195,-2.60439076100738e-06,-2.2783006e-06,[0.0009995830671712723]
196,-2.627973185553856e-06,-2.5875966e-06,[0.0009995787805744802]
197,-2.591384713923617e-06,-2.3081354e-06,[0.0009995744720637102]
198,-2.5943425271179875e-06,-2.4942624e-06,[0.000999570141639152]
199,-2.6631211085259565e-06,-2.713361e-06,[0.0009995657893009954]
200,-2.6280890324414942e-06,-2.5997522e-06,[0.0009995614150494314]
201,-2.6207054588667233e-06,-2.3078321e-06,[0.0009995570188846517]
202,-2.6221246343993697e-06,-2.3464306e-06,[0.000999552600806849]
203,-2.6465094606464843e-06,-2.5600857e-06,[0.0009995481608162174]
204,-2.5882357704176686e-06,-2.5516797e-06,[0.0009995436989129515]
205,-2.6204208779745387e-06,-2.5777686e-06,[0.0009995392150972471]
206,-2.634066686368897e-06,-2.6219532e-06,[0.0009995347093693008]
207,-2.6453544251126006e-06,-2.7839037e-06,[0.0009995301817293104]
208,-2.6002201821029304e-06,-2.5725208e-06,[0.0009995256321774742]
209,-2.6926733426080317e-06,-2.5337736e-06,[0.000999521060713992]
210,-2.7067016389992203e-06,-2.4934857e-06,[0.0009995164673390644]
211,-2.6753937618195776e-06,-2.475143e-06,[0.0009995118520528927]
212,-2.6503965727897595e-06,-2.5137376e-06,[0.0009995072148556794]
213,-2.6052813382193563e-06,-2.2548381e-06,[0.000999502555747628]
214,-2.673121548468771e-06,-2.7528058e-06,[0.0009994978747289427]
215,-2.6143347668039497e-06,-2.606264e-06,[0.000999493171799829]
216,-2.6914191266769194e-06,-2.42188e-06,[0.0009994884469604931]
217,-2.619652241264703e-06,-2.6858686e-06,[0.0009994837002111423]
218,-2.6244389118801338e-06,-2.6406642e-06,[0.0009994789315519847]
219,-2.6860777779802447e-06,-2.5271306e-06,[0.0009994741409832296]
220,-2.6923767109110486e-06,-2.879719e-06,[0.0009994693285050873]
221,-2.664853104761278e-06,-2.7225542e-06,[0.0009994644941177684]
222,-2.7292214554108797e-06,-2.649148e-06,[0.0009994596378214856]
223,-2.631409097375581e-06,-2.4516896e-06,[0.0009994547596164514]
224,-2.652169064276677e-06,-2.606165e-06,[0.0009994498595028802]
225,-2.702660958675551e-06,-2.7128174e-06,[0.0009994449374809867]
226,-2.6452600195625563e-06,-2.5687232e-06,[0.0009994399935509865]
227,-2.6197498982583057e-06,-2.6861014e-06,[0.000999435027713097]
228,-2.6816906483873025e-06,-2.441762e-06,[0.0009994300399675357]
229,-2.602665813355998e-06,-2.5346826e-06,[0.0009994250303145217]
230,-2.692978705454152e-06,-2.5804195e-06,[0.0009994199987542743]
231,-2.700519507925492e-06,-2.7483575e-06,[0.0009994149452870146]
232,-2.6674649689084617e-06,-2.5212655e-06,[0.000999409869912964]
233,-2.6557431965557043e-06,-2.4691362e-06,[0.0009994047726323454]
234,-2.620393615870853e-06,-2.3911718e-06,[0.0009993996534453824]
235,-2.681621162992087e-06,-2.716257e-06,[0.0009993945123522993]
236,-2.7015006253350294e-06,-2.2421814e-06,[0.0009993893493533217]
237,-2.679275257833069e-06,-2.6586645e-06,[0.0009993841644486761]
238,-2.6611130124365447e-06,-2.5652032e-06,[0.0009993789576385897]
239,-2.6189091158812516e-06,-2.6930452e-06,[0.0009993737289232915]
240,-2.7221213713346516e-06,-2.796434e-06,[0.0009993684783030103]
241,-2.7376564275982675e-06,-2.712291e-06,[0.0009993632057779765]
242,-2.7449122399048063e-06,-2.6493449e-06,[0.0009993579113484216]
243,-2.6841440558200703e-06,-2.4713368e-06,[0.0009993525950145775]
244,-2.65681710516219e-06,-2.644058e-06,[0.0009993472567766779]
245,-2.694274667192076e-06,-2.5399868e-06,[0.0009993418966349565]
246,-2.664916496541991e-06,-2.6998343e-06,[0.0009993365145896486]
247,-2.703845348150935e-06,-2.6710156e-06,[0.0009993311106409903]
248,-2.731242602749262e-06,-2.5976858e-06,[0.0009993256847892187]
249,-2.6507760367167068e-06,-2.4679216e-06,[0.0009993202370345718]
250,-2.6320155257053555e-06,-2.5879738e-06,[0.0009993147673772883]
251,-2.6984429268850363e-06,-2.4155086e-06,[0.0009993092758176084]
252,-2.6269530280842445e-06,-2.1984408e-06,[0.0009993037623557731]
253,-2.695671605579264e-06,-2.520014e-06,[0.000999298226992024]
254,-2.669588320713956e-06,-2.6069858e-06,[0.000999292669726604]
255,-2.6904603828370456e-06,-2.5688216e-06,[0.0009992870905597565]
256,-2.6694753842093633e-06,-2.745614e-06,[0.0009992814894917267]
257,-2.6740649900602874e-06,-2.3910059e-06,[0.0009992758665227602]
258,-2.6890879325947027e-06,-2.5187362e-06,[0.0009992702216531037]
259,-2.7382497364669687e-06,-2.6560672e-06,[0.0009992645548830047]
260,-2.7352960387361234e-06,-2.687887e-06,[0.0009992588662127118]
261,-2.74601172804978e-06,-2.6548e-06,[0.0009992531556424745]
262,-2.736798387559247e-06,-2.7253343e-06,[0.0009992474231725432]
263,-2.7548393518372904e-06,-2.5147056e-06,[0.0009992416688031696]
264,-2.739901174209081e-06,-2.6990085e-06,[0.000999235892534606]
265,-2.7311647045280552e-06,-2.756304e-06,[0.0009992300943671055]
266,-2.6999088277079863e-06,-2.588728e-06,[0.0009992242743009228]
267,-2.7378073127692915e-06,-2.5765917e-06,[0.000999218432336313]
268,-2.7390278091843355e-06,-2.7057238e-06,[0.0009992125684735328]
269,-2.708103761506209e-06,-2.3471086e-06,[0.0009992066827128386]
270,-2.697765080483805e-06,-2.7310555e-06,[0.0009992007750544896]
271,-2.6987660476152086e-06,-2.73685e-06,[0.000999194845498744]
272,-2.6924580652121223e-06,-2.6052094e-06,[0.0009991888940458623]
273,-2.6950235906042507e-06,-2.6641062e-06,[0.0009991829206961057]
274,-2.733791757236759e-06,-2.599657e-06,[0.000999176925449736]
275,-2.71123637958226e-06,-2.5110792e-06,[0.0009991709083070162]
276,-2.663036298145016e-06,-2.6717335e-06,[0.0009991648692682102]
277,-2.731270592448709e-06,-2.880528e-06,[0.0009991588083335832]
278,-2.712626906031801e-06,-2.809475e-06,[0.0009991527255034007]
279,-2.7155786256116698e-06,-2.7237065e-06,[0.0009991466207779297]
280,-2.752501404756913e-06,-2.5854906e-06,[0.000999140494157438]
281,-2.7382112421037164e-06,-2.4940275e-06,[0.0009991343456421942]
282,-2.680470720406447e-06,-2.6738664e-06,[0.0009991281752324682]
283,-2.686689458641922e-06,-2.6013092e-06,[0.0009991219829285306]
284,-2.7492455501487713e-06,-2.604671e-06,[0.0009991157687306528]
285,-2.7141746613779106e-06,-2.6086027e-06,[0.000999109532639108]
286,-2.717748043323809e-06,-2.5812897e-06,[0.0009991032746541689]
287,-2.760230108833639e-06,-2.431977e-06,[0.0009990969947761105]
288,-2.7100510806121745e-06,-2.454918e-06,[0.0009990906930052083]
289,-2.6703343564804525e-06,-2.876788e-06,[0.0009990843693417385]
290,-2.7629256237560186e-06,-2.3957718e-06,[0.0009990780237859789]
291,-2.698036769288592e-06,-2.6408634e-06,[0.0009990716563382073]
292,-2.7745006036639095e-06,-2.712741e-06,[0.0009990652669987035]
293,-2.7465752964417335e-06,-2.66473e-06,[0.0009990588557677474]
294,-2.7861495027536875e-06,-2.5796414e-06,[0.0009990524226456202]
295,-2.771142499113921e-06,-2.361319e-06,[0.0009990459676326043]
296,-2.6761555091070478e-06,-2.4959832e-06,[0.000999039490728983]
297,-2.655925231920264e-06,-2.5852748e-06,[0.0009990329919350401]
298,-2.671702850420843e-06,-2.7900821e-06,[0.0009990264712510606]
299,-2.726123466345598e-06,-2.4233636e-06,[0.000999019928677331]
300,-2.761230507530854e-06,-2.7760914e-06,[0.0009990133642141378]
301,-2.790797634588671e-06,-2.6800476e-06,[0.0009990067778617691]
302,-2.75539962331095e-06,-2.676384e-06,[0.000999000169620514]
303,-2.7191435947315767e-06,-2.7745887e-06,[0.000998993539490662]
304,-2.7235187644691903e-06,-2.5838424e-06,[0.0009989868874725044]
305,-2.7636874165182236e-06,-2.896607e-06,[0.0009989802135663328]
306,-2.7444932811704347e-06,-2.7263422e-06,[0.0009989735177724397]
307,-2.7121428047394145e-06,-2.7775902e-06,[0.0009989668000911192]
308,-2.7204474918107734e-06,-2.6414145e-06,[0.0009989600605226656]
309,-2.759086987680348e-06,-2.458033e-06,[0.0009989532990673747]
310,-2.713102071538742e-06,-2.73403e-06,[0.0009989465157255431]
311,-2.7770322049036624e-06,-2.3017526e-06,[0.0009989397104974683]
312,-2.7458905833555036e-06,-2.7154217e-06,[0.000998932883383449]
313,-2.7743837108573643e-06,-2.7066785e-06,[0.0009989260343837845]
314,-2.800631477839488e-06,-2.669439e-06,[0.0009989191634987753]
315,-2.7122828669234876e-06,-2.6778544e-06,[0.0009989122707287229]
316,-2.7342660587237335e-06,-2.7669014e-06,[0.0009989053560739293]
317,-2.7400475346439634e-06,-2.4843964e-06,[0.000998898419534698]
318,-2.7549807100513137e-06,-2.4443316e-06,[0.0009988914611113334]
319,-2.7114277372675135e-06,-2.7515773e-06,[0.0009988844808041404]
320,-2.795823661472241e-06,-2.8126478e-06,[0.0009988774786134256]
321,-2.75068387054489e-06,-2.6470932e-06,[0.000998870454539496]
322,-2.763822203633026e-06,-2.6919622e-06,[0.0009988634085826595]
323,-2.7020945026379197e-06,-2.7117446e-06,[0.0009988563407432253]
324,-2.7310739824315534e-06,-2.6634364e-06,[0.0009988492510215033]
325,-2.7602247428148987e-06,-2.7013823e-06,[0.000998842139417805]
326,-2.798587365759886e-06,-2.6560058e-06,[0.000998835005932442]
327,-2.794475312839495e-06,-2.7082144e-06,[0.000998827850565727]
328,-2.7671638008541776e-06,-2.7441981e-06,[0.0009988206733179742]
329,-2.727132664404053e-06,-2.6844903e-06,[0.0009988134741894983]
330,-2.7426634915173053e-06,-2.770606e-06,[0.000998806253180615]
331,-2.696886372177687e-06,-2.2895958e-06,[0.0009987990102916413]
332,-2.6964399012285866e-06,-2.7397894e-06,[0.0009987917455228947]
333,-2.7260447041044245e-06,-2.6576931e-06,[0.0009987844588746938]
334,-2.767756723187631e-06,-2.4873118e-06,[0.0009987771503473584]
335,-2.807333021337399e-06,-2.5079994e-06,[0.0009987698199412092]
336,-2.7497365863382584e-06,-2.7373305e-06,[0.0009987624676565676]
337,-2.7559309955904608e-06,-2.84759e-06,[0.000998755093493756]
338,-2.741185471677454e-06,-2.5713105e-06,[0.000998747697453098]
339,-2.668933552740782e-06,-2.6986104e-06,[0.000998740279534918]
340,-2.7574388923312654e-06,-2.657605e-06,[0.0009987328397395414]
341,-2.7483353960633395e-06,-2.6674938e-06,[0.0009987253780672943]
342,-2.778641783152125e-06,-2.7294575e-06,[0.0009987178945185043]
343,-2.826025070135074e-06,-2.7145456e-06,[0.0009987103890934997]
344,-2.790433836707962e-06,-2.766059e-06,[0.0009987028617926097]
345,-2.8477837304308197e-06,-2.612535e-06,[0.0009986953126161643]
346,-2.7268970143268235e-06,-2.5010902e-06,[0.0009986877415644948]
347,-2.77506364909641e-06,-2.463589e-06,[0.0009986801486379332]
348,-2.7104149012302516e-06,-2.6235632e-06,[0.0009986725338368126]
349,-2.713151320676843e-06,-2.7180888e-06,[0.000998664897161467]
350,-2.7450696734376833e-06,-2.6945736e-06,[0.0009986572386122316]
351,-2.708874308154918e-06,-2.6593927e-06,[0.000998649558189442]
352,-2.7284721909381914e-06,-2.7701608e-06,[0.0009986418558934353]
353,-2.7755802193496494e-06,-2.7695498e-06,[0.0009986341317245494]
354,-2.7328919486535598e-06,-2.7518606e-06,[0.0009986263856831229]
355,-2.8109012873756e-06,-2.663162e-06,[0.0009986186177694959]
356,-2.8134470085205978e-06,-2.730869e-06,[0.0009986108279840086]
357,-2.762751296359056e-06,-2.716723e-06,[0.0009986030163270034]
358,-2.7889208467968273e-06,-2.7588687e-06,[0.0009985951827988224]
359,-2.770940704976965e-06,-2.677964e-06,[0.0009985873273998095]
360,-2.7197709869142274e-06,-2.7056112e-06,[0.0009985794501303092]
361,-2.7430567797637197e-06,-2.5328154e-06,[0.0009985715509906671]
362,-2.732789243964362e-06,-2.4364303e-06,[0.0009985636299812298]
363,-2.762903181974252e-06,-2.566422e-06,[0.0009985556871023441]
364,-2.804419182211859e-06,-2.7433382e-06,[0.0009985477223543593]
365,-2.7683483949658694e-06,-2.7397546e-06,[0.0009985397357376241]
