,train,val,lr
241,-1.2964524103153963e-05,-1.029009e-05,[0.0009985675932196493]
242,-1.2752251677738968e-05,-1.3439327e-05,[0.0009985556871023424]
243,-1.3499928445526167e-05,-1.3522821e-05,[0.000998543731779562]
244,-1.3263208711578044e-05,-1.30550425e-05,[0.000998531727252488]
245,-1.3017250512348256e-05,-1.3497418e-05,[0.000998519673522305]
246,-1.3179834331822348e-05,-1.3568882e-05,[0.0009985075705902027]
247,-1.3664248854183825e-05,-1.4212725e-05,[0.0009984954184573758]
248,-1.3661991579283494e-05,-1.2963649e-05,[0.0009984832171250234]
249,-1.3310741996974684e-05,-1.3489395e-05,[0.00099847096659435]
250,-1.3495465827872976e-05,-1.3230936e-05,[0.0009984586668665646]
251,-1.3637362644658425e-05,-1.4171707e-05,[0.000998446317942881]
252,-1.3719873732043197e-05,-1.4013332e-05,[0.000998433919824518]
253,-1.2610644262167625e-05,-1.2715397e-05,[0.0009984214725126993]
254,-1.3410989231488201e-05,-1.3672405e-05,[0.0009984089760086536]
255,-1.3101006970828166e-05,-1.3277924e-05,[0.0009983964303136139]
256,-1.404269514750922e-05,-1.4437687e-05,[0.0009983838354288186]
257,-1.3845002831658348e-05,-1.3673168e-05,[0.0009983711913555107]
258,-1.3644458431372185e-05,-1.425695e-05,[0.0009983584980949383]
259,-1.3402974764176178e-05,-1.3664162e-05,[0.0009983457556483539]
260,-1.365921370961587e-05,-1.3400885e-05,[0.0009983329640170153]
261,-1.3586004206445068e-05,-1.3025182e-05,[0.000998320123202185]
262,-1.2781189161614747e-05,-1.1528511e-05,[0.0009983072332051303]
263,-1.3287456658872543e-05,-1.3578836e-05,[0.0009982942940271234]
264,-1.378474717057543e-05,-1.4116862e-05,[0.0009982813056694415]
265,-1.4072831345401936e-05,-1.3008533e-05,[0.0009982682681333663]
266,-1.3902696991863195e-05,-1.4456195e-05,[0.0009982551814201844]
267,-1.3721524101129035e-05,-1.4225465e-05,[0.0009982420455311876]
268,-1.3795336872135523e-05,-1.427468e-05,[0.0009982288604676725]
269,-1.3032974584348267e-05,-1.1810118e-05,[0.0009982156262309401]
270,-1.3012257841182873e-05,-1.3275728e-05,[0.0009982023428222967]
271,-1.3463956292980583e-05,-1.3246384e-05,[0.0009981890102430536]
272,-1.3632767695526126e-05,-1.2139721e-05,[0.0009981756284945262]
273,-1.3902538466936675e-05,-1.3710593e-05,[0.0009981621975780355]
274,-1.4025362906977534e-05,-1.3514595e-05,[0.000998148717494907]
275,-1.3725881672144169e-05,-1.3182792e-05,[0.0009981351882464712]
276,-1.408931047990336e-05,-1.5223366e-05,[0.0009981216098340633]
277,-1.3417722129815957e-05,-1.4104321e-05,[0.0009981079822590235]
278,-1.3260628111311235e-05,-1.4018254e-05,[0.000998094305522697]
279,-1.3736423716181889e-05,-1.3945088e-05,[0.0009980805796264332]
280,-1.383682147206855e-05,-1.3386539e-05,[0.000998066804571587]
281,-1.3932529327576049e-05,-1.3357269e-05,[0.0009980529803595179]
282,-1.3793815924145747e-05,-1.3378016e-05,[0.0009980391069915903]
283,-1.3850634786649607e-05,-1.3967332e-05,[0.0009980251844691735]
284,-1.4111887867329643e-05,-1.35942055e-05,[0.0009980112127936417]
285,-1.4193166589393513e-05,-1.4257165e-05,[0.0009979971919663736]
286,-1.4233603633329039e-05,-1.4662183e-05,[0.0009979831219887531]
287,-1.3665866117662517e-05,-1.380412e-05,[0.000997969002862169]
288,-1.302887158090016e-05,-1.3450831e-05,[0.0009979548345880147]
289,-1.3544284047384281e-05,-1.426776e-05,[0.0009979406171676884]
290,-1.411979219483328e-05,-1.36176795e-05,[0.0009979263506025935]
291,-1.411013727192767e-05,-1.4444309e-05,[0.000997912034894138]
292,-1.4389205171028152e-05,-1.4281729e-05,[0.0009978976700437349]
293,-1.3788165142614162e-05,-1.3215661e-05,[0.0009978832560528018]
294,-1.3890139143768465e-05,-1.3203076e-05,[0.0009978687929227611]
295,-1.4025824020791333e-05,-1.3899817e-05,[0.0009978542806550407]
296,-1.440358846593881e-05,-1.32365385e-05,[0.0009978397192510727]
297,-1.4204525177774485e-05,-1.4691476e-05,[0.0009978251087122943]
298,-1.4295114215201466e-05,-1.43694515e-05,[0.0009978104490401475]
