,train,val,lr
90,-6.625314699704177e-06,-5.634781e-06,[0.0009998001538251283]
91,-6.309476566457306e-06,-6.5632535e-06,[0.0009997956884308086]
92,-6.304068483586888e-06,-6.176291e-06,[0.0009997911737086322]
93,-6.588326550627244e-06,-6.733326e-06,[0.0009997866096590443]
94,-6.671577057204558e-06,-6.750175e-06,[0.0009997819962824957]
95,-6.5863477630045965e-06,-6.82863e-06,[0.0009997773335794417]
96,-6.594080741706421e-06,-6.044222e-06,[0.0009997726215503423]
97,-6.587874440810992e-06,-6.702192e-06,[0.0009997678601956627]
98,-6.436468493120629e-06,-5.4173265e-06,[0.0009997630495158728]
99,-6.303662030404667e-06,-6.2284753e-06,[0.0009997581895114472]
100,-6.514725509987329e-06,-6.4242117e-06,[0.000999753280182866]
101,-6.501397547253873e-06,-6.265487e-06,[0.0009997483215306133]
102,-6.494879198726267e-06,-6.6563293e-06,[0.0009997433135551788]
103,-6.741868446624721e-06,-6.791699e-06,[0.0009997382562570564]
104,-6.744723577867262e-06,-6.803423e-06,[0.0009997331496367455]
105,-6.697102799080313e-06,-6.952106e-06,[0.0009997279936947501]
106,-6.694266767226509e-06,-6.228054e-06,[0.0009997227884315791]
107,-6.672107974736718e-06,-6.8613804e-06,[0.0009997175338477462]
108,-6.695903721265495e-06,-6.462404e-06,[0.00099971222994377]
109,-6.551342312377528e-06,-6.722632e-06,[0.000999706876720174]
110,-6.746730014128843e-06,-6.9453476e-06,[0.0009997014741774865]
111,-6.7584703174361495e-06,-7.1698405e-06,[0.0009996960223162407]
112,-6.650591330981115e-06,-7.0249407e-06,[0.0009996905211369748]
113,-6.839887146270485e-06,-6.5933136e-06,[0.0009996849706402316]
114,-6.672685276498669e-06,-6.383013e-06,[0.000999679370826559]
115,-6.598945901714615e-06,-6.675051e-06,[0.0009996737216965096]
116,-6.423900504159974e-06,-6.2285885e-06,[0.0009996680232506408]
117,-6.5422964780736946e-06,-6.836475e-06,[0.0009996622754895152]
118,-6.76851004755008e-06,-6.887921e-06,[0.0009996564784137002]
119,-6.854632147224038e-06,-6.4764035e-06,[0.0009996506320237679]
120,-6.6214726302860075e-06,-6.650884e-06,[0.000999644736320295]
121,-6.7277514972374775e-06,-6.1681903e-06,[0.0009996387913038638]
122,-6.71071379656496e-06,-6.8241966e-06,[0.0009996327969750607]
123,-6.867979709568317e-06,-6.7395804e-06,[0.0009996267533344775]
124,-6.6788102685677584e-06,-6.9139987e-06,[0.0009996206603827106]
125,-6.851680336694699e-06,-6.8706718e-06,[0.0009996145181203617]
126,-6.849040300949128e-06,-6.2276995e-06,[0.0009996083265480368]
127,-6.7070535351376744e-06,-6.6889984e-06,[0.0009996020856663467]
128,-6.858969936729409e-06,-6.673351e-06,[0.0009995957954759076]
129,-6.777563885407289e-06,-6.716721e-06,[0.0009995894559773405]
130,-6.823054536653217e-06,-6.482651e-06,[0.0009995830671712706]
