,train,val,lr
89,-5.45100792805897e-06,-4.5606253e-06,[0.0009998045698911505]
90,-5.4169876420928634e-06,-4.7920485e-06,[0.0009998001538251283]
91,-5.360590284908539e-06,-4.695864e-06,[0.0009997956884308086]
92,-5.374641295929905e-06,-4.8103493e-06,[0.0009997911737086322]
93,-5.43004448445572e-06,-4.2306006e-06,[0.0009997866096590443]
94,-5.324616722646169e-06,-5.018087e-06,[0.0009997819962824957]
95,-5.339469043974532e-06,-5.198825e-06,[0.0009997773335794417]
96,-5.2728094033227535e-06,-4.813785e-06,[0.0009997726215503423]
97,-5.42899783795292e-06,-4.574391e-06,[0.0009997678601956627]
98,-5.342999475033139e-06,-5.3926833e-06,[0.0009997630495158728]
99,-5.263279444989166e-06,-5.131782e-06,[0.0009997581895114472]
100,-5.360362365536275e-06,-5.113554e-06,[0.000999753280182866]
101,-5.394652043833048e-06,-5.330193e-06,[0.0009997483215306133]
102,-5.376547551350086e-06,-4.899288e-06,[0.0009997433135551788]
103,-5.43568226021307e-06,-4.848699e-06,[0.0009997382562570564]
104,-5.435451703306171e-06,-5.4242237e-06,[0.0009997331496367455]
105,-5.414725455921143e-06,-5.243058e-06,[0.0009997279936947501]
106,-5.451174001791515e-06,-5.655782e-06,[0.0009997227884315791]
107,-5.356016617952264e-06,-5.2804617e-06,[0.0009997175338477462]
108,-5.45598063581565e-06,-4.6644514e-06,[0.00099971222994377]
109,-5.44241215720831e-06,-5.3291706e-06,[0.000999706876720174]
110,-5.355557050279458e-06,-5.261816e-06,[0.0009997014741774865]
111,-5.510073015102534e-06,-5.4206976e-06,[0.0009996960223162407]
112,-5.466610218718415e-06,-4.5757433e-06,[0.0009996905211369748]
113,-5.510569326361292e-06,-4.9628534e-06,[0.0009996849706402316]
114,-5.37341784365708e-06,-5.495457e-06,[0.000999679370826559]
115,-5.512843836186221e-06,-4.891229e-06,[0.0009996737216965096]
116,-5.404252488006023e-06,-5.152934e-06,[0.0009996680232506408]
117,-5.520954755411367e-06,-4.792973e-06,[0.0009996622754895152]
118,-5.412311793406843e-06,-5.666515e-06,[0.0009996564784137002]
119,-5.366330969991395e-06,-5.335286e-06,[0.0009996506320237679]
120,-5.390451224229764e-06,-4.703089e-06,[0.000999644736320295]
121,-5.448977890409878e-06,-4.908593e-06,[0.0009996387913038638]
122,-5.552476295633824e-06,-5.4070715e-06,[0.0009996327969750607]
123,-5.453177118397435e-06,-4.175226e-06,[0.0009996267533344775]
124,-5.4782530241936914e-06,-5.4809234e-06,[0.0009996206603827106]
125,-5.464117612064001e-06,-5.414146e-06,[0.0009996145181203617]
126,-5.511028439286747e-06,-5.5277314e-06,[0.0009996083265480368]
127,-5.5201921441039305e-06,-5.114225e-06,[0.0009996020856663467]
128,-5.333803846951923e-06,-5.2480254e-06,[0.0009995957954759076]
129,-5.504521641341853e-06,-2.67808e-06,[0.0009995894559773405]
130,-5.488247870744089e-06,-5.2138944e-06,[0.0009995830671712706]
131,-5.416046178652323e-06,-5.3777626e-06,[0.0009995766290583287]
132,-5.372419809646089e-06,-5.3869853e-06,[0.0009995701416391503]
133,-5.580567540164339e-06,-5.468065e-06,[0.0009995636049143757]
134,-5.38542171852896e-06,-4.2932634e-06,[0.0009995570188846498]
135,-5.489393106472562e-06,-5.719821e-06,[0.000999550383550623]
136,-5.434197555587162e-06,-5.4403945e-06,[0.00099954369891295]
137,-5.4837596508150455e-06,-5.327323e-06,[0.0009995369649722903]
138,-5.524876178242266e-06,-5.6228005e-06,[0.000999530181729309]
139,-5.449967147796997e-06,-5.2152827e-06,[0.0009995233491846749]
140,-5.413984172264463e-06,-5.3531653e-06,[0.0009995164673390628]
141,-5.457969973576837e-06,-5.314799e-06,[0.0009995095361931521]
142,-5.542081089515704e-06,-4.263331e-06,[0.0009995025557476265]
143,-5.534695537789957e-06,-4.932808e-06,[0.000999495526003175]
144,-5.554565814236412e-06,-5.6896774e-06,[0.0009994884469604916]
145,-5.542986900763935e-06,-5.096209e-06,[0.000999481318620275]
146,-5.552870379688102e-06,-5.4307234e-06,[0.0009994741409832283]
147,-5.477436525325175e-06,-5.4058355e-06,[0.0009994669140500605]
148,-5.517664385479293e-06,-4.907429e-06,[0.0009994596378214845]
149,-5.59317777515389e-06,-4.9952837e-06,[0.0009994523122982184]
150,-5.509810171133722e-06,-5.465959e-06,[0.0009994449374809856]
151,-5.603532827080926e-06,-5.228467e-06,[0.0009994375133705134]
152,-5.451151764646056e-06,-4.820031e-06,[0.0009994300399675346]
153,-5.6118120937753705e-06,-5.3005238e-06,[0.0009994225172727873]
154,-5.574828037424595e-06,-5.5785845e-06,[0.0009994149452870135]
155,-5.564274988500983e-06,-5.7058305e-06,[0.0009994073240109608]
156,-5.677951367033529e-06,-4.976552e-06,[0.0009993996534453813]
157,-5.44567747056135e-06,-5.301527e-06,[0.000999391933591032]
158,-5.5932895520527385e-06,-4.44897e-06,[0.0009993841644486748]
159,-5.523386016648147e-06,-5.4449515e-06,[0.0009993763460190764]
160,-5.494220386026427e-06,-4.6281166e-06,[0.0009993684783030088]
161,-5.466829588840483e-06,-5.011942e-06,[0.0009993605613012482]
162,-5.5247116961254505e-06,-5.4762822e-06,[0.0009993525950145762]
163,-5.6075796237564646e-06,-5.758513e-06,[0.0009993445794437789]
164,-5.5803806390031244e-06,-4.9588743e-06,[0.0009993365145896473]
165,-5.51926827938587e-06,-5.498193e-06,[0.0009993284004529775]
166,-5.452653749671299e-06,-5.2503683e-06,[0.0009993202370345705]
167,-5.4443267345050115e-06,-5.7504644e-06,[0.0009993120243352316]
168,-5.598256075245445e-06,-4.8532634e-06,[0.0009993037623557716]
169,-5.651237324855174e-06,-5.4154357e-06,[0.000999295451097006]
170,-5.508921958607971e-06,-5.2779415e-06,[0.000999287090559755]
171,-5.6111308822437426e-06,-4.9462087e-06,[0.0009992786807448437]
172,-5.579727667281986e-06,-5.169502e-06,[0.0009992702216531021]
173,-5.602366991297459e-06,-5.7787606e-06,[0.0009992617132853652]
174,-5.6227898312499745e-06,-4.2326897e-06,[0.0009992531556424727]
175,-5.6061037867038975e-06,-4.9146965e-06,[0.0009992445487252693]
176,-5.613521261693677e-06,-5.3749036e-06,[0.0009992358925346042]
177,-5.666671540893731e-06,-5.465632e-06,[0.0009992271870713318]
178,-5.636174773826497e-06,-5.7614907e-06,[0.0009992184323363116]
179,-5.560709178098478e-06,-5.0420745e-06,[0.0009992096283304073]
180,-5.510189294000156e-06,-5.3810527e-06,[0.000999200775054488]
181,-5.544174291571835e-06,-5.6785348e-06,[0.0009991918725094273]
182,-5.517900081031257e-06,-4.552101e-06,[0.0009991829206961041]
183,-5.524930293177021e-06,-5.4162933e-06,[0.0009991739196154017]
184,-5.560452063946286e-06,-5.0981216e-06,[0.0009991648692682087]
185,-5.624045797958388e-06,-5.471353e-06,[0.000999155769655418]
186,-5.6039451010292394e-06,-5.4245047e-06,[0.0009991466207779282]
187,-5.5743749726389066e-06,-5.3478784e-06,[0.0009991374226366416]
188,-5.5435164995287774e-06,-5.516151e-06,[0.0009991281752324667]
189,-5.694674109690823e-06,-5.2812397e-06,[0.0009991188785663156]
190,-5.630344730889192e-06,-5.3800322e-06,[0.0009991095326391064]
191,-5.603462614089949e-06,-4.73967e-06,[0.000999100137451761]
192,-5.662920102622593e-06,-4.898332e-06,[0.0009990906930052068]
193,-5.518426041817292e-06,-5.391606e-06,[0.000999081199300376]
194,-5.623796823783778e-06,-5.3208955e-06,[0.0009990716563382058]
195,-5.5599852203158665e-06,-5.330851e-06,[0.0009990620641196378]
196,-5.626907750411192e-06,-5.5662704e-06,[0.0009990524226456186]
197,-5.541141763387713e-06,-5.1244806e-06,[0.0009990427319171002]
198,-5.563591366808396e-06,-4.741962e-06,[0.0009990329919350386]
199,-5.501687383002718e-06,-5.169674e-06,[0.0009990232027003952]
200,-5.557789654631051e-06,-5.482692e-06,[0.0009990133642141363]
201,-5.604511670753709e-06,-5.440828e-06,[0.0009990034764772327]
202,-5.577355113928206e-06,-3.7653206e-06,[0.0009989935394906606]
203,-5.578844547926565e-06,-5.6132367e-06,[0.0009989835532554004]
204,-5.647712714562658e-06,-5.274123e-06,[0.000998973517772438]
205,-5.611370988845011e-06,-5.308867e-06,[0.0009989634330427638]
206,-5.509621678356779e-06,-4.7315402e-06,[0.0009989532990673732]
207,-5.624624327538185e-06,-5.417288e-06,[0.000998943115847266]
208,-5.4690493470843645e-06,-4.5495212e-06,[0.0009989328833834475]
209,-5.602299916063203e-06,-5.2175565e-06,[0.0009989226016769276]
210,-5.495670302479994e-06,-4.404804e-06,[0.0009989122707287211]
211,-5.613418943539728e-06,-4.8299466e-06,[0.0009989018905398475]
212,-5.527972916752333e-06,-4.893051e-06,[0.0009988914611113314]
