,train,val,lr
88,-2.41946154346806e-06,-2.0280825e-06,[0.0009999150799411575]
89,-2.3985725192687823e-06,-2.2607067e-06,[0.0009999131390301037]
90,-2.4125497475324664e-06,-2.4080355e-06,[0.0009999111761904056]
91,-2.4225463675975333e-06,-2.2618099e-06,[0.0009999091914221498]
92,-2.383469063715893e-06,-2.5315842e-06,[0.000999907184725423]
93,-2.485737991264614e-06,-2.406485e-06,[0.0009999051561003134]
94,-2.492060571057664e-06,-2.3004811e-06,[0.00099990310554691]
95,-2.492478756721539e-06,-2.5508473e-06,[0.0009999010330653028]
96,-2.402596055617323e-06,-2.578058e-06,[0.0009998989386555824]
97,-2.4046187490966985e-06,-2.5340419e-06,[0.0009998968223178411]
98,-2.296053753525484e-06,-2.0914792e-06,[0.0009998946840521715]
99,-2.430315453239018e-06,-2.3067178e-06,[0.0009998925238586674]
100,-2.4459217911498856e-06,-2.2627328e-06,[0.0009998903417374238]
101,-2.4541773200326134e-06,-2.3381772e-06,[0.000999888137688536]
102,-2.4820153157634197e-06,-2.5237666e-06,[0.000999885911712101]
103,-2.431021766824415e-06,-2.264341e-06,[0.0009998836638082163]
104,-2.4275740770463015e-06,-2.4534806e-06,[0.0009998813939769806]
105,-2.4711435798963067e-06,-2.200486e-06,[0.0009998791022184934]
106,-2.478621513546386e-06,-2.4412113e-06,[0.000999876788532855]
107,-2.4909079456847394e-06,-2.462099e-06,[0.000999874452920167]
108,-2.4366322804780793e-06,-2.467664e-06,[0.0009998720953805322]
109,-2.472148753440706e-06,-2.3395155e-06,[0.0009998697159140538]
110,-2.398854007878981e-06,-2.2335682e-06,[0.000999867314520836]
111,-2.506762848497601e-06,-2.5679785e-06,[0.0009998648912009846]
112,-2.4990038355099386e-06,-2.362616e-06,[0.0009998624459546055]
113,-2.435956776025705e-06,-2.3827968e-06,[0.0009998599787818061]
114,-2.4536194587199134e-06,-2.5048646e-06,[0.0009998574896826944]
115,-2.486744870111579e-06,-2.4223516e-06,[0.0009998549786573799]
116,-2.4622513137728676e-06,-2.4593937e-06,[0.0009998524457059722]
117,-2.4830548227328108e-06,-2.2573686e-06,[0.0009998498908285831]
118,-2.4835077283569262e-06,-2.3918485e-06,[0.0009998473140253245]
119,-2.4182366132663446e-06,-2.4095295e-06,[0.0009998447152963091]
120,-2.4929974870246952e-06,-2.53662e-06,[0.0009998420946416512]
121,-2.5059707013497244e-06,-2.4457179e-06,[0.0009998394520614657]
122,-2.4676317707417185e-06,-2.2721636e-06,[0.0009998367875558684]
123,-2.4914126697694884e-06,-2.5242514e-06,[0.0009998341011249762]
124,-2.4932216774686823e-06,-2.453927e-06,[0.000999831392768907]
125,-2.55928086971835e-06,-2.8311467e-06,[0.0009998286624877796]
126,-2.537820932957402e-06,-2.489247e-06,[0.000999825910281714]
127,-2.5760603648450344e-06,-2.4322173e-06,[0.0009998231361508306]
128,-2.5314870526926827e-06,-2.4553715e-06,[0.000999820340095251]
129,-2.5524446073177386e-06,-2.5850247e-06,[0.0009998175221150982]
130,-2.5804198003243075e-06,-2.5839977e-06,[0.0009998146822104955]
131,-2.5691407927297403e-06,-2.3477382e-06,[0.0009998118203815676]
132,-2.5835465521595325e-06,-2.4083706e-06,[0.0009998089366284402]
133,-2.583556556601252e-06,-2.4907595e-06,[0.0009998060309512394]
134,-2.4666155468366925e-06,-2.660603e-06,[0.0009998031033500929]
135,-2.5464988084422656e-06,-2.4209598e-06,[0.0009998001538251292]
136,-2.5697482669784223e-06,-2.6266541e-06,[0.0009997971823764776]
137,-2.5284942012149258e-06,-2.5691352e-06,[0.0009997941890042684]
138,-2.544323979236651e-06,-2.4461353e-06,[0.000999791173708633]
139,-2.480076068422932e-06,-2.412951e-06,[0.0009997881364897036]
140,-2.575282974248694e-06,-2.5400675e-06,[0.0009997850773476133]
141,-2.5262329472752754e-06,-2.3186788e-06,[0.0009997819962824965]
142,-2.5128968445642384e-06,-2.5584156e-06,[0.0009997788932944885]
143,-2.5702461016408052e-06,-2.3926548e-06,[0.000999775768383725]
144,-2.551224042690592e-06,-2.5108009e-06,[0.0009997726215503432]
145,-2.522033037166693e-06,-2.3555647e-06,[0.0009997694527944813]
146,-2.5756285822353677e-06,-2.525815e-06,[0.0009997662621162781]
147,-2.5180681404890494e-06,-2.5828945e-06,[0.0009997630495158737]
148,-2.603326606731571e-06,-2.6063228e-06,[0.0009997598149934087]
149,-2.5791237931116485e-06,-2.4733692e-06,[0.0009997565585490257]
150,-2.5998863520726444e-06,-2.6289108e-06,[0.0009997532801828669]
151,-2.555296168793575e-06,-2.4167618e-06,[0.0009997499798950762]
152,-2.5696341481307172e-06,-2.3410419e-06,[0.0009997466576857985]
153,-2.6087441483468864e-06,-2.4513402e-06,[0.0009997433135551796]
154,-2.5278300654463235e-06,-2.3089892e-06,[0.000999739947503366]
155,-2.6215070647594985e-06,-2.5819384e-06,[0.0009997365595305057]
